onset	duration	trial_type
10.032	4.05	relational
14.082	4.05	relational
18.132	4.05	relational
22.182	4.033	relational
28.215	3.249	control
31.464	3.25	control
34.714	3.25	control
37.964	3.25	control
41.214	3.233	control
62.446	3.25	control
65.696	3.249	control
68.945	3.25	control
72.195	3.25	control
75.445	3.233	control
80.678	4.05	relational
84.728	4.049	relational
88.777	4.05	relational
92.827	4.033	relational
114.859	3.25	control
118.109	3.25	control
121.359	3.25	control
124.609	3.249	control
127.858	3.234	control
133.091	4.05	relational
137.141	4.05	relational
141.191	4.05	relational
145.241	4.033	relational
